maz,maz_nev,evk,evk_nev,szekhely,indulo,honos,osszesen,version
09,HAJDÚ-BIHAR,03,"HAJDÚ-BIHAR, 03. számú OEVK",Debrecen,78578,78577,78577,01161935
09,HAJDÚ-BIHAR,04,"HAJDÚ-BIHAR, 04. számú OEVK",Berettyóújfalu,68242,68222,68222,01161935
09,HAJDÚ-BIHAR,05,"HAJDÚ-BIHAR, 05. számú OEVK",Hajdúszoboszló,69953,69933,69933,01161935
09,HAJDÚ-BIHAR,06,"HAJDÚ-BIHAR, 06. számú OEVK",Hajdúböszörmény,70027,70016,70016,01161935
10,HEVES,01,"HEVES, 01. számú OEVK",Eger,81627,81618,81618,01161935
10,HEVES,02,"HEVES, 02. számú OEVK",Gyöngyös,77344,77325,77325,01161935
10,HEVES,03,"HEVES, 03. számú OEVK",Hatvan,80057,80030,80030,01161935
11,JÁSZ-NAGYKUN-SZOLNOK,01,"JÁSZ-NAGYKUN-SZOLNOK, 01. számú OEVK",Szolnok,77899,77873,77873,01161935
11,JÁSZ-NAGYKUN-SZOLNOK,02,"JÁSZ-NAGYKUN-SZOLNOK, 02. számú OEVK",Jászberény,71148,71129,71129,01161935
11,JÁSZ-NAGYKUN-SZOLNOK,03,"JÁSZ-NAGYKUN-SZOLNOK, 03. számú OEVK",Karcag,75558,75542,75542,01161935
11,JÁSZ-NAGYKUN-SZOLNOK,04,"JÁSZ-NAGYKUN-SZOLNOK, 04. számú OEVK",Törökszentmiklós,74221,74204,74204,01161935
12,KOMÁROM-ESZTERGOM,01,"KOMÁROM-ESZTERGOM, 01. számú OEVK",Tatabánya,78987,78972,78972,01161935
12,KOMÁROM-ESZTERGOM,02,"KOMÁROM-ESZTERGOM, 02. számú OEVK",Esztergom,82077,82056,82056,01161935
12,KOMÁROM-ESZTERGOM,03,"KOMÁROM-ESZTERGOM, 03. számú OEVK",Komárom,82534,82511,82511,01161935
13,NÓGRÁD,01,"NÓGRÁD, 01. számú OEVK",Salgótarján,75715,75686,75686,01161935
13,NÓGRÁD,02,"NÓGRÁD, 02. számú OEVK",Balassagyarmat,79139,79112,79112,01161935
14,PEST,01,"PEST, 01. számú OEVK",Érd,87250,87217,87217,01161935
14,PEST,02,"PEST, 02. számú OEVK",Budakeszi,94521,94530,94530,01161935
14,PEST,03,"PEST, 03. számú OEVK",Szentendre,92415,92416,92416,01161935
14,PEST,04,"PEST, 04. számú OEVK",Vác,75308,75291,75291,01161935
14,PEST,05,"PEST, 05. számú OEVK",Dunakeszi,97882,97858,97858,01161935
14,PEST,06,"PEST, 06. számú OEVK",Gödöllő,90972,90969,90969,01161935
14,PEST,07,"PEST, 07. számú OEVK",Vecsés,90779,90804,90804,01161935
14,PEST,08,"PEST, 08. számú OEVK",Szigetszentmiklós,92303,92298,92298,01161935
14,PEST,09,"PEST, 09. számú OEVK",Nagykáta,77019,77007,77007,01161935
14,PEST,10,"PEST, 10. számú OEVK",Monor,79371,79361,79361,01161935
14,PEST,11,"PEST, 11. számú OEVK",Dabas,89253,89255,89255,01161935
14,PEST,12,"PEST, 12. számú OEVK",Cegléd,74538,74532,74532,01161935
15,SOMOGY,01,"SOMOGY, 01. számú OEVK",Kaposvár,61662,61653,61653,01161935
15,SOMOGY,02,"SOMOGY, 02. számú OEVK",Barcs,59695,59671,59671,01161935
15,SOMOGY,03,"SOMOGY, 03. számú OEVK",Marcali,62546,62531,62531,01161935
15,SOMOGY,04,"SOMOGY, 04. számú OEVK",Siófok,64664,64635,64635,01161935
16,SZABOLCS-SZATMÁR-BEREG,01,"SZABOLCS-SZATMÁR-BEREG, 01. számú OEVK",Nyíregyháza,74072,74035,74035,01161935
16,SZABOLCS-SZATMÁR-BEREG,02,"SZABOLCS-SZATMÁR-BEREG, 02. számú OEVK",Nyíregyháza,71807,71789,71789,01161935
16,SZABOLCS-SZATMÁR-BEREG,03,"SZABOLCS-SZATMÁR-BEREG, 03. számú OEVK",Kisvárda,77986,77943,77943,01161935
16,SZABOLCS-SZATMÁR-BEREG,04,"SZABOLCS-SZATMÁR-BEREG, 04. számú OEVK",Vásárosnamény,73160,73131,73131,01161935
16,SZABOLCS-SZATMÁR-BEREG,05,"SZABOLCS-SZATMÁR-BEREG, 05. számú OEVK",Mátészalka,73504,73477,73477,01161935
16,SZABOLCS-SZATMÁR-BEREG,06,"SZABOLCS-SZATMÁR-BEREG, 06. számú OEVK",Nyírbátor,72077,72059,72059,01161935
17,TOLNA,01,"TOLNA, 01. számú OEVK",Szekszárd,59740,59716,59716,01161935
17,TOLNA,02,"TOLNA, 02. számú OEVK",Dombóvár,59016,58995,58995,01161935
17,TOLNA,03,"TOLNA, 03. számú OEVK",Paks,59206,59185,59185,01161935
18,VAS,01,"VAS, 01. számú OEVK",Szombathely,68601,68601,68601,01161935
18,VAS,02,"VAS, 02. számú OEVK",Sárvár,68366,68345,68345,01161935
18,VAS,03,"VAS, 03. számú OEVK",Körmend,66572,66556,66556,01161935
19,VESZPRÉM,01,"VESZPRÉM, 01. számú OEVK",Veszprém,70651,70622,70622,01161935
19,VESZPRÉM,02,"VESZPRÉM, 02. számú OEVK",Balatonfüred,74002,73985,73985,01161935
19,VESZPRÉM,03,"VESZPRÉM, 03. számú OEVK",Tapolca,67793,67785,67785,01161935
19,VESZPRÉM,04,"VESZPRÉM, 04. számú OEVK",Pápa,68747,68732,68732,01161935
20,ZALA,01,"ZALA, 01. számú OEVK",Zalaegerszeg,75280,75265,75265,01161935
20,ZALA,02,"ZALA, 02. számú OEVK",Keszthely,74039,74023,74023,01161935
20,ZALA,03,"ZALA, 03. számú OEVK",Nagykanizsa,72173,72142,72142,01161935
